film_id,usuario,pelicula,puntuacion,resena
loving-vincent,queenraechel,Loving Vincent,7.0,"365 film challenge - 2025Day 167 of 365Watch a film that looks like a paintingVincent style of painting was and still is unmatched to this day. It was interesting to learn more about him and his life before he sadly passed away. The film did a great job of capturing it. About 100 painter actually brought this film to life and how beautiful they did“I want to touch people with my art. I want them to say 'he feels deeply, he feels tenderly'”June movies only from my watchlist - 2025"
1917,queenraechel,1917,9.0,"Thank youLuca De La Fuente 🩷🍋for recommending me to watch this film.Dare I say, better than Dunkirk.Y’all cinema, when Schofield is running as the bombs are going off in the background to give Colonel Mackenzie the letter. Then having to tell Lances brother he didn’t make it“Where are the others?”June movies only from my watchlist - 2025recommend me movies"
charade,queenraechel,Charade,8.0,Thank youjackandbruceVaKfor recommending me to watch this film.It’s just a cat and mouse game.And oh what fun it was to watch“Didn't Charles have any friends?”1960s films rankedJune movies only from my watchlist - 2025recommend me movies
sweet-smell-of-success,queenraechel,Sweet Smell of Success,7.0,"Thank youDarrenfor recommending me to watch this film‘Oh brother’Power-hungry men.Endless twists and turns of events, are you ready for it?“Maybe I left my sense of humor in my other suit”1950s films rankedJune movies only from my watchlist - 2025recommend me movies"
good-will-hunting,happypumpkin18,Good Will Hunting,,It's not your fault. It's not your fault. It's not your fault. It's not your fault. It's not your fault. It's not your fault. It's not your fault. It's not your fault. It's not your fault.
whiplash-2014,happypumpkin18,Whiplash,4.0,surely this can’t be the whiplash everyone keeps talking about i love damien chazelle but this was pretty underwhelming.
the-worst-person-in-the-world,happypumpkin18,The Worst Person in the World,8.0,"if i relate so much to this, does that make me the second worst person in the world?"
girl-interrupted,happypumpkin18,"Girl, Interrupted",5.0,It’s Sunday. The sun is out. I had my morning coffee and then put this on—I don’t think I was trying to have a good day.
before-sunrise,happypumpkin18,Before Sunrise,8.0,"A night like this will heal me but at the same time, destroy me for the rest of my life."
waves-2019,happypumpkin18,Waves,5.0,Beautifully tragic. The first half breaks you but the second half heals you. The soundtrack is incredible and there’s something truly special about the cinematography.A24 Ranked.
pride-prejudice,happypumpkin18,Pride & Prejudice,,i think the romance genre peaked with this and we’ve yet to reach this level ever since.
sinners-2025,letmeexplain,Sinners,8.0,Delroy Lindo
nirvanna-the-band-the-show-the-movie,letmeexplain,Nirvanna the Band the Show the Movie,5.0,"Rewatched the entire series after the premiere…Modern masterpiece.Top tier comedy - the epitome of friendship - and unexpectedly a blockbuster.Going to watch again before copyright changes the movie, again."
nirvanna-the-band-the-show-the-movie,letmeexplain,Nirvanna the Band the Show the Movie,,NtBtStM Intro > The Dark Knight Rises
ladies-gentlemen-50-years-of-snl-music-2025,letmeexplain,Ladies & Gentlemen... 50 Years of SNL Music,9.0,One of the greatest montages in film and music
the-passion-of-joan-of-arc,elisavetkei,The Passion of Joan of Arc,5.0,I HAVE NO WORDS TO DESCRIBE THIS MASTERPIECE
blue-velvet,elisavetkei,Blue Velvet,9.0,DO IT FOR VAN GOGH
mysterious-skin,elisavetkei,Mysterious Skin,9.0,This movie just tore my heart apart
mad-max-fury-road,elisavetkei,Mad Max: Fury Road,5.0,ABSOLUTELY PERFECT
frances-ha,elisavetkei,Frances Ha,9.0,i've never related to anything more than i related to frances ha
the-dark-knight,elisavetkei,The Dark Knight,5.0,UGH I MISS HEATH SO MUCH
whiplash-2014,sevvalinz,Whiplash,5.0,ANNANIII AVRADINII AMKK YOK BÖYLE BİR ŞEYY KAFAYIII YERSİNN NEFESİMMM KESİLDİİİ HAYATIMDAA İZLEDİĞİMM EN OLAĞANÜSTÜÜ FİLMMM ABİİİ DAHAA BÜYÜKKK YAZZ AMK KLAVYESİİİ DAHAA BÜYÜKKK YAZZZ
schindlers-list,sevvalinz,Schindler's List,5.0,"“Kim bir hayat kurtarırsa, bütün bir alemi kurtarmış sayılır.”VAY AMK!!!! İNANILMAZ ETKİLEYİCİ BİR YAPIMDI 🤯Oskar Schindler zamanla vicdanı ve insanlığı ağır basması o duyguyu bize hissetirmelerii o kadar çarpıcıydı ki, bu dönüşümün insan doğasının karmaşıklığını çok iyi yansıttığını düşünüyorum. Filmdeki o atmosfer mükemmel aktarılmış.Sonudaa bi o kadar güzeldi, tüm emeği geçenlere teşekkürler 🙌🏻🫡"
possession,sevvalinz,Possession,4.0,-Ben senden ayrılmak istediğim zaman ilk başlarda muskayı yapan kimdi-Sen muskayla mı böylesin-Ya muskayı yapan kimdi-Tamam tutmamış TUT-MA-MIŞ-Hee beni kendine bağlamak için muska yapıyon HAOAHSWKHSKWHSJWHSWJ off kavgalarını aynen böylee duydum onun dışında fazlasıyla mide bulandırıcı bir filmdii belki ileride fikrim değişir bilmiyorum ama şimdilik çok benimsediğim bir yapım olduğunu söyleyemeyeceğim🙌🏻Kadınların birbirine benzerliği
the-prestige,sevvalinz,The Prestige,5.0,O kadar mükemmel bir film ki sözlükte bunu tanımlayacak bir kelime yok.
jurassic-park,sp00kylukey,Jurassic Park,5.0,Should be more frequently counted as a quintessential entry in the canon of gateway horror.The way Tim says“I’m stuck”to his being trapped under the car seat like it’s a minor inconvenience and not a life threatening situation.
possibly-in-michigan,sp00kylukey,Possibly in Michigan,5.0,Halfway to Halloween Spring Spooktacular! 🎃Girl dinner: The Musical. 💖✨
vincent,sp00kylukey,Vincent,5.0,Halfway to Halloween Spring Spooktacular! 🎃A masterful monochrome monument to the greatest actor who has ever lived. 🖤
shogun-2024,roberto_,Shōgun,5.0,saw a woman* so beautiful i asked my lord permission to commit seppuku*mariko-sama
the-swimmer,roberto_,The Swimmer,5.0,definitely don draper's favourite film
drunken-angel,roberto_,Drunken Angel,8.0,akira kurosawa really stole the whole vibe from rina sawayama'sbad friend music videoand thought we wouldn't notice... the audacity of this man...
bo-burnham-inside,roberto_,Bo Burnham: Inside,6.0,thinking about him (comrade socko)
broadcast-news,oppenmommy,Broadcast News,5.0,One of the most dear things to me in existence
killers-of-the-flower-moon,oppenmommy,Killers of the Flower Moon,5.0,Thinking this is anything less than perfect is wild to me. We are so lucky.
pride-prejudice,oppenmommy,Pride & Prejudice,5.0,"To me, this is Easter service"
sinners-2025,oppenmommy,Sinners,9.0,"Everyone is talking aboutthatscene (me, I am) and rightfully so, but there are so many others, most before the vampires even seem like a possibility, that are so well structured and acted—like Smoke’s negotiation lesson, Grace’s walk across the way, and Slim’s first taste of Irish beer. Then there are the ones that come after some neck biting like the splicing of Pearline’s performance with Mary x Stack that are just as great.Sinnersis effective in pretty…"
sinners-2025,oppenmommy,Sinners,9.0,When the rhythmic sound of Annie striking a match synchronized with the music??? This is major folks!
sinners-2025,oppenmommy,Sinners,9.0,"Sex, gore, and rock-n-roll.I can see a world where people call the plot ofSinnersformulaic, but it leans into comedy and the cliché in a way that feels realized and makes room for everything this movie has to talk about which includesthe bluesbaby! Preacher Boy’s performance is the film-stealing scene and I am eternally grateful that not a second of it was in the trailer because what a joy. Michael B. Jordan is good but Miles Caton,…"
stop-making-sense,oppenmommy,Stop Making Sense,5.0,As we get olderwe really dostop making sense
oppenheimer-2023,oppenmommy,Oppenheimer,5.0,I like this one
happiness-1965,oppenmommy,Le Bonheur,9.0,For fans ofMidsommar(floral-filled horror film)
its-a-wonderful-life,oppenmommy,It's a Wonderful Life,5.0,"Not to be dramatic but this movie is pretty much what gets me through the holiday!Merry Christmas my angels, hee-haw!"
the-sound-of-music,oppenmommy,The Sound of Music,,The Lonely Goatherdhaaaaates to hear my mom and I coming
the-brutalist,oppenmommy,The Brutalist,5.0,"There are so many images that I find myself savoring and stowing away, but my favorite is that of the empty library with its new reading chair. I weep every time László steps out of frame, sets up a book, and admires his work.With an over three hour runtime, it feels redundant to say thatthere’s a lot in herebut on my fourth watch I was in awe of the newness in ideas, motifs, etc. So yeah I will keep on watching in every format and on every screen."
the-brutalist,oppenmommy,The Brutalist,5.0,"The first time we visit the Van Buren home, the camera snakes up the driveway in a shot that feels like it was plucked out of a horror film, which is exactly what this is. The most color we see on screen is a bouquet of balloons for a brief occasion of joy.Every facet of this is brilliant and it makes me very giddy!"
interstellar,oppenmommy,Interstellar,,It is my belief that Christopher Nolan is good at what he does
jurassic-park,sammyjreacts,Jurassic Park,5.0,We need to open up a dialogue of this not only being the best blockbuster of all-time but Jeff Goldblum as Ian Malcolm being one of the greatest supporting characters everWhat can I say about this film that hasn’t been said? I’ve glazed this film to death throughout my lifetime. Ridiculous technical achievements in filmmaking. Everyone and their momma remembers the first time we saw the dinosaurs in the silver screen for the first time. And just like the…
how-to-train-your-dragon-2025,sammyjreacts,How to Train Your Dragon,,"Spamming John Powell’s score was the best decision this movie could make because I was floating so high up I was practically dapping up god. Toothless, stunt on these bums frLook…Is it a remake? A Re-adaptation? or is it Redundant? The answer to all those questions is yes.Before I get into my thoughts I just gotta say: the flight test scene still hits like crack in the 80s. I was prepared for the same regurgitated discourse that I…"
john-wick-chapter-4,sammyjreacts,John Wick: Chapter 4,9.0,"Backshots sounding like Baghdad? Nah, Backshots sounding like John Wick punching that Makiwara in Dolby frI don’t think it’s an exaggeration to say that this might just be the greatest western action flick on an action/stunts per minute basis. Pure unadulterated action for 2hrs and 40-ish minutes. Such creative action set pieces that (much like the mission impossible films) have me asking the question: “HOW’D THEY DO THAT?!” Seriously, they’re pushing the boundaries of what stuntmen are capable of…"
lilo-stitch,sammyjreacts,Lilo & Stitch,5.0,Ugly duckling scene made me cry again
uncut-gems,aarnwlsn,Uncut Gems,5.0,anxiety levels through the fucking roof!!!!!!!!!!!!!!!
girl-interrupted,aarnwlsn,"Girl, Interrupted",5.0,i had a headache
sinners-2025,aarnwlsn,Sinners,9.0,absolutely fangtastic!!!! vampire hailee steinfeld bite me next
scream,aarnwlsn,Scream,5.0,stu and billy really put the homo in homocide
brighter-days-ahead,aarnwlsn,Brighter Days Ahead,6.0,graniana grande
the-hunger-games-catching-fire,aarnwlsn,The Hunger Games: Catching Fire,5.0,still holds the crown for best aspect ratio change in cinema
shrek-2,aarnwlsn,Shrek 2,5.0,five stars is simply not enough
shrek,aarnwlsn,Shrek,5.0,a cinematic masterpiece that will never get old
sharp-objects,aarnwlsn,Sharp Objects,5.0,absolute perfection
eternal-sunshine-of-the-spotless-mind,aarnwlsn,Eternal Sunshine of the Spotless Mind,5.0,forever wishing i could erase this film from my mind so i could experience it for the first time again
the-social-network,aarnwlsn,The Social Network,5.0,good luck with your video game
ex-machina-2015,aarnwlsn,Ex Machina,9.0,"“I’m going to tear up the fucking dance floor dude, check it out” is perhaps the best sentence spoken in cinema history"
gone-girl,aarnwlsn,Gone Girl,5.0,quite frankly still one of the greatest films ever made
kneecap,aarnwlsn,Kneecap,5.0,if you see me buying a margaret thatcher dart board and an irish balaclava … yes you did
gavin-stacey-the-finale,aarnwlsn,Gavin & Stacey: The Finale,5.0,what if i said best tv show finale ep ever what then
pulp-fiction,aarnwlsn,Pulp Fiction,9.0,"i wanna dance, i wanna win and i want that trophy"
carol-2015,aarnwlsn,Carol,5.0,"what a strange girl you are, flung out of space."
die-hard,aarnwlsn,Die Hard,9.0,"talented, brilliant, incredible, amazing, show stopping, spectacular, never the same, totally unique."
little-women-2019,aarnwlsn,Little Women,5.0,it’s just never ever going to get old for me
my-neighbor-totoro,aarnwlsn,My Neighbor Totoro,5.0,i just know that a big hug from totoro would heal me
conclave,aarnwlsn,Conclave,9.0,personally i think they should have to lip-sync for the win
paddington-2,aarnwlsn,Paddington 2,5.0,i cried at least 5 times actually
funny-games,kurtcoba1n,Funny Games,8.0,not one funny game in this
how-to-train-your-dragon-2025,kurtcoba1n,How to Train Your Dragon,9.0,not to be dramatic but i would give my life for toothless
inglourious-basterds,kurtcoba1n,Inglourious Basterds,5.0,choose your fighter: christoph waltz chugging a glass of milk or nicole kidman chugging a glass of milk
shinjuku-boys,funeralroses,Shinjuku Boys,9.0,"Some of the most well-articulated discussions about gender ever captured on film, presented so naturally, as if they were talking about the weather.Those end credits created and defined tboy swag"
saving-face,funeralroses,Saving Face,6.0,Vivian one of the most attractive lesbian characters ever put to film omg
the-swimmer,funeralroses,The Swimmer,8.0,"A very uncomfortable watch (both in terms of thematic content and Burt Lancaster’s bulge) but very thought provoking. Captures how suburbia creates a facade for the upper-middle class, and one really fucked up guy realizes the pool parties and the drinks won’t distract people from what he’s done.Now I need a pool hot dog."
the-wind-rises,funeralroses,The Wind Rises,8.0,"When it comes to aviation in film and television, there’s an angel on your shoulder (Hayao Miyazaki) and a devil (Nathan Fielder)(making jokes to cope with the fact that this made me cry like a baby🥲 so glad I finally watched this)"
princess-jellyfish-2010,funeralroses,Princess Jellyfish,8.0,Comfort food for the genderfluid hotties and awkward nerds of the world (I’m both)A show about cross-dressing and gender experimentation that is Drag Queen Certified™️ — Kori King said this is one of her favorite anime which made me love her even more!!!! Need her to come to the local gay bar again and kiki with her about shoujo
paradise-kiss-2005,funeralroses,Paradise Kiss,7.0,Engaging with Ai Yazawa’s stories at pivotal moments of young adulthood WILL end you👍
flow-2024,funeralroses,Flow,7.0,"Very sweet little film with great visual storytelling. My favorite was the lemur 🐒 (there is no lemur emoji I tried). Don’t know how cat owners survived watching this, his sad little meows broke my heart every time. My iggy was locked tf in.However, I couldn’t help but feel a bit underwhelmed by the animation. Maybe I just got my hopes up too high, but everyone had been praising the art style, just for me to watch it and…"
the-brutalist,funeralroses,The Brutalist,9.0,Absolutely monumental. Brady Corbet is the 21st century’s Luchino Visconti. How they actual hell did they make this for under $10m….
ex-machina-2015,funeralroses,Ex Machina,4.0,"As if you put the syllabus from the 100 level “Philosophy through Sci-Fi” class I took for my GE reqs into ChatGPT and asked it to write a script based off the contents.The word pretentious gets thrown around a lot, but Alex Garland is the true epitome of it. References Prometheus and “I am death destroyer of worlds” like they’re cultural deep cuts and thinks himself the smartest man in the room (spoiler: he’s not).Also, just a really…"
the-muppet-christmas-carol,funeralroses,The Muppet Christmas Carol,8.0,Realizing I (21 y/o lesbian) have the same fashion taste as every male Muppet in this… Gonzo was lowkey so formative to my gender presentation tbh
conclave,funeralroses,Conclave,9.0,"So exactly my shit I almost started foaming at the mouth. Discussions of tradition contrasted with cardinals hitting their vapes and swiping on their iPhones. The beautifully pristine and classically orchestrated cinematography mixed with the suffocatingly intimate sound design - each heave of Dean Lawrence’s breath forcing itself into your skull - made this one of the most heart racing and gripping films I’ve seen in ages. Berger just keeps unveiling more and more layers as the film progresses, creating a film that wholly dissects almost every facet of the Catholic Church. Isabella Rossellini supporting performance of the year."
laura,funeralroses,Laura,9.0,Falling in love with a movie you randomly turned on on a Sunday afternoon >>> captivating and more or less flawless
over-the-garden-wall-2014,funeralroses,Over the Garden Wall,,Watched with a fall candle lit while doing a jigsaw puzzle after eating a home cooked meal… thesis has officially wrapped… no more stress… cozy season has begun 🧡🎃 never kill yourself
sing-sing-2023,funeralroses,Sing Sing,8.0,"Really really impactful. Made me genuinely laugh out loud throughout but also always felt so sobering and therapeutic. And made me cry too, of course"
the-conversation,funeralroses,The Conversation,7.0,"You can tell this was directed by a man because a toilet filled with blood was supposed to be jarring, unsettling imagery"
after-life,funeralroses,After Life,5.0,Really wanted to love this but felt really underwhelmed by the direction for such a unique concept - which was the last thing I expected to say bc I love Kore-eda generally :( Mostly just made me realize my own memory is dogshit more than anything
comrades-almost-a-love-story,funeralroses,"Comrades, Almost a Love Story",7.0,Maggie Cheung’s got one of the greatest screen presences out there
good-morning,funeralroses,Good Morning,9.0,Turning on Criterion 24/7 while cooking and enjoying a delicious home cooked meal is my new fav way of romanticizing life
nana-2006,funeralroses,NANA,9.0,“Loving someone is never a waste.“ [GUNSHOT] [EXPLOSION] [crying] [shaking] [throwing up]Just the perfect early twenties coming of age story that I needed right now… captures both the beauty and crushing sadness that comes with building relationships as a young person navigating their place in their world. Completely twists the expectations of both of the Nanas characters — hopeless romanticism vs stoicism — to create something that is so deeply human and dreamy at the same time.Though the…
dune-part-two,funeralroses,Dune: Part Two,9.0,"I used to think that film wasn’t a well suited medium for political fantasy with dense worldbuilding, but I’m so glad Denis proved me wrong 🙏 genuinely how the fuck did they make this oh my god"
anatomy-of-a-fall,funeralroses,Anatomy of a Fall,8.0,Save me cunty lawyer… save me…
attack-on-titan-the-final-chapters-special-2,funeralroses,Attack on Titan The Final Chapters: Special 2,5.0,"I’ve been watching through the whole series these past several weeks and… man. I don’t know if I’ll be able to form coherent thoughts on this show until inevitably watch the whole thing through again, but I’m currently riding off that simultaneous high and depressive wave of knowing that I just finished experiencing one of the greatest storytelling achievements of my lifetime. My favorite thing I’ve watched in years."
when-harry-met-sally,funeralroses,When Harry Met Sally...,8.0,Sexually attracted to all the sweaters
the-wild-robot,tasokay,The Wild Robot,6.0,„the wild robot”oh yeah? why don’t you show me how wild you can be? 😈😉😏👅
past-lives,tasokay,Past Lives,7.0,nora’sfuckass bob is fire ♥️
the-terminator,justinejade,The Terminator,9.0,for all the references that came from this movie i had no clue what the plot was
john-mulaney-new-in-town,brynnhelena,John Mulaney: New in Town,9.0,i love it here 🥹🫶🏻
the-wind-will-carry-us,drewgregory,The Wind Will Carry Us,8.0,"This is the first Kiarostami film I've watched since learning what he did toMania Akbari. Since he's dead, I don't really see an ethical problem with continuing to watch his work, but I still struggled to put it out of my mind during this. I just idolized him and cherished his work for so long. I think I need more time to reconcile the man and the artist."
rocco-and-his-brothers,drewgregory,Rocco and His Brothers,9.0,"Sometimes feels like a sharp critique of violent patriarchy, other times just an expression of it. It's been awhile since a movie made me this angry, but I can't decide if I'm angry at the movie or just the reality it's portraying.Edit: After a few hours reflection, I can’t shake the parallels the film draws between Simone’s bad and Rocco’s good. It feels pointed that it ends with Ciro and Luca and not with Rocco. Still angry for Nadia, but I do think the film knows what it’s doing."
the-skeleton-dance,drewgregory,The Skeleton Dance,8.0,A Disney Adult who just really likes The Skeleton Dance.
dressed-in-blue,drewgregory,Dressed in Blue,8.0,"So many cis-made trans docs obsessed with genitalia, finally one obsessed with tits."
robocop,drewgregory,RoboCop,8.0,Sharper in its critique of capitalism and capitalism's intersection with law enforcement than its critique of law enforcement itself. But still so good and I can imagine liking it even more on a rewatch.Between this and perfect brilliant masterpiece Starship Troopers I think I like Verhoeven's perspective on violence more than his perspective on sex.
the-sorrow-and-the-pity-1969,drewgregory,The Sorrow and the Pity,5.0,"People love to discuss WWII in the context of absolute victimization or absolute heroism. RIP Marcel Ophuls, an artist who focused instead on cowardice, complicity, and the many ways people justify the unjustifiable."
la-strada,drewgregory,La Strada,5.0,It's so crazy that you can rewatch one of the best movies of all time for no reason other than it's a Tuesday.
the-terence-davies-trilogy,drewgregory,The Terence Davies Trilogy,8.0,I'd never seen any Terence Davies movies so I figured I'd start from the beginning! I knew he was gay but I didn’t realized he was GAY. (Catholic.)
come-and-see,drewgregory,Come and See,8.0,"In many ways as incredible as everyone says (especially in the first half), in other ways a bit disappointing. I look forward to reading more about it to maybe fill in that gap."
stage-door,drewgregory,Stage Door,9.0,"So funny, so dark. An astute portrait of the industry that manages to critique and celebrate all at once."
serpico,drewgregory,Serpico,9.0,The problem with most corrupt cop stories is they still traffic in the fantasy that the work itself is noble. This maybe comes the closest I’ve seen to revealing the pointless cruelty of the whole charade — even if Serpico himself remains a believer.Peak Pacino is such a joy to watch but god is this a sad film.
bacurau,drewgregory,Bacurau,8.0,Would've been perfectly happy to stay with Sônia Braga's character the whole time but I would say that
beyond-the-hills,drewgregory,Beyond the Hills,9.0,A devastating real-life horror movie told largely from the perspectives of those around the victim. I feel SAD.
the-white-ribbon,drewgregory,The White Ribbon,5.0,"When I was 16 I thought this was one of the best movies ever so I was curious to see it in theatres again all these years later. Overall I’m less enamored with Michael Haneke than I was as a teen — not because I don’t still admire the work, I just think there are other films that are less unpleasant and more worthwhile to revisit — but this still really moved me.First of all, TIFF’s print was gorgeous…"
platform,drewgregory,Platform,9.0,Enamored by so much of this and I appreciate it even more after reading a bit about it. Somehow my first Jia Zhangke film and I already want to watch more.
hamilton-2020,ashleepradella,Hamilton,5.0,Pretty much ready to say this is my favourite musical of all time.
fantastic-mr-fox,cuqui,Fantastic Mr. Fox,5.0,sometimes i wonder if anyone even reads mycolumn
wendy-and-lucy,cuqui,Wendy and Lucy,5.0,hurts so bad but i knew what i was getting into
the-heiress,cuqui,The Heiress,5.0,"when all the world’s been handed to you, naïveté comes in the package deal, and when a hotshot with a nose for inheritances tells you he loves you, how could you even know to question his urgency? everything else always came easily. a desperately needed bullshit-o-meter wakeup call makes for a great arc in the sheltered-to-dignified catherine.one of my favorite subtle acting details was when she first tells her father the doctor the name of the man (she thinks)…"
little-amelie-or-the-character-of-rain,cuqui,Little Amélie or the Character of Rain,8.0,well that was precious🎟️you can read more about my cannes experience here
anatomy-of-a-fall,neelxm,Anatomy of a Fall,9.0,note to self: don’t be bisexual in france
past-lives,neelxm,Past Lives,5.0,"“what if this is a past life and we’re already something to each other in our next life” the childhood first love and what could’ve been vs “you make my life so much bigger and I’m wondering if I do the same for you” “you dream in a language I can’t understand, it’s like there’s this whole place inside you I can’t go” the love you find in adulthood with someone of a different culture who so desperately wants to understand…"
oppenheimer-2023,neelxm,Oppenheimer,5.0,christopher nolan it seems i’ve grown quite fond of you. this might be the best thing i’ve seen in a long time it already feels so timeless
the-holdovers,neelxm,The Holdovers,5.0,a good will hunting dead poets society-esque movie I loved this so much there’s just something so special about an unlikely teacher-student friendship that develops from two lonely souls
shrek,neelxm,Shrek,5.0,"after literally 6 months of being in a depression era, sometimes the only thing that can get you out of it is shrek"
3-women,bailey_adams,3 Women,7.0,"Criterion challenge 2025#3 Directed by Robert AltmanMy list:Criterion challenge 2025#3 3 WomenA really fascinating character study, exploring obsession, friendship, and strange oddities that my mind couldn’t even grapple. The performances were incredibly captivating and made these characters really feel like people. It seems basic to say it like that, but it’s really special how they managed to make this film feel very natural and human. The ambiguous ending really threw me off and made the…"
andor-a-disney-day-special-look,bailey_adams,Andor: A Disney+ Day Special Look,5.0,"Letterboxd removed the season 2 special look so I’m using this to re-log my season 2 review. I’m very angry that they got rid of it, but oh well.Season 2 review:Star Wars is easily my second favourite fictional thing ever, right after Harry Potter. It’s been part of my life for as long as I can remember, and I love pretty much everything about it. There’s very little I dislike in the Star Wars universe. I really loved…"
on-the-waterfront,bailey_adams,On the Waterfront,8.0,"Criterion challenge 2025#1 Watch a film from the CC40 BoxsetMy list:Criterion challenge 2025#1 On the WaterfrontThis was a really solid watch. Great acting throughout and a really interesting reason behind why this film was made. I recommend looking into that if you’ve seen this. The whole setting and atmosphere was the biggest standout for me though. Everything felt so lively and real, adding a lot to the overall tension and plot really well. It made for…"
sinners-2025,bailey_adams,Sinners,9.0,One of the most cinematic and exciting films I’ve seen in a while. It is truly a masterpiece in so many aspects that made it an absolute blast to witness. I found that each act was its own film in itself. The first being about two brothers who came back to the town where they are known to all and have to tackle many different relationships to gather all old acquaintances to come to their new gig. The second being…
star-wars-episode-iii-revenge-of-the-sith,bailey_adams,Star Wars: Episode III – Revenge of the Sith,9.0,"While it has many glaring flaws and writing issues like it’s weak dialogue, unbalanced pacing, sloppy editing, and some dated but not terrible cgi at times, it still manages to be a bittersweet spectacle of the ages, making for an wonderful time coming back to cinemas. The opening and ending are the strongest parts of the film for me. It throws you right into an epic battle and has a fun little duel that results in an underwhelming end of…"
network,lqvstra,Network,5.0,I'M MAD AS HELL AND I'M NOT GOING TO TAKE THIS ANYMORE
happiness,lqvstra,Happiness,8.0,"to quote my good friend (we've never met) paul thomas anderson: ""oh phil, it's great. you like that, don't you? yeahhh"""
eyes-wide-shut,lqvstra,Eyes Wide Shut,9.0,there’s a church of scientology a few blocks away from my school and this is EXACTLY what i imagine happens in there
the-departed,lqvstra,The Departed,9.0,citizins
lavventura,lqvstra,L'Avventura,6.0,"antonioni: man, i found this dope ass island, can i have money to make un film pls?producers: we need more details. what's the plot?antonioni: monica vitta on my cool ass island. then a bunch of nonsense so i can make the movie super long of course. who the fuck cares.producers: okay fine. what's the movie going to be called?antonioni: l'avventura.producers: the adventure?? that is the stupidest movie name i've ever heard.antonioni: yeah okay but it sounds cool in italian so fuck you.producers: okay, good enough. here's your money."
dou-kyu-sei-classmates,az93,Dou kyu sei – Classmates,6.0,"I really wanted this to have more of an impact for me, but sadly it just didn't do anything.It's really sweet, and the animation is smooth - but it just felt a little too quickly paced and didn't give me enough time to really invest in any character. Maybe I'd think differently if I'd read the manga beforehand."
kes,19oldboy91,Kes,7.0,"English Version below🟠🟢🔵Mit der mir sich hier bietenden, und auch ausdruckverleihenden Entschuldigung, mochte ich sowohlRegisseur Ken Loachfür dessen Herangehensweise in seinem erst zweiten Filmprojekt mit„Kes“als ein dokumentarisches Abfilmen im Leben unseres wahrlich großartig wie überzeugend aufspielenden Hauptdarstellers, dem, wie könnte es anders sein, Laiendarsteller und später in Filmen wie dem1979im Fernseher erschienen„Im Westen nichts Neues“mitspielendenDavid Bradley, wie dessen Entscheidung in der Verkettung – unteranderem –, und dem Herbeiführen des finanziellen…"
mars-express,19oldboy91,Mars Express,8.0,English Version below🟠🟢🔵„Mars Express“als die hiermit gestellte Frage darüber fliegender Finger wie Augenpärchen:wie lange mussAnimationsfreundwieRobotervergöttererwieScience-Fiction-LiebhaberSimon M. F.auf ein weiteres Werk vonRegisseurundDrehbuchautorJérémie Périnwarten um die Checkboxen-Science-Fiction-Roboter-Mitdenken-Animation-Robote + Seele = ?-geile Action-coole Figurenerneut erfüllt zu sehen?Science-Fiction-------------------------------------------“Mars Express” as the question posed here about flying fingers and pairs of eyes:…
sinners-2025,19oldboy91,Sinners,7.0,"English Version below🟠🟢🔵Selbstredend sind die Erwartungen verknüpft mit den ersten Bildern, wobei die ersten Bilder gerne alsTrailerzusammengefasst werden und ich eigentlich auch durchwegs so mache, sprudeln ganz dem Zufall geschuldet sonst kaum bis keine Bilder in meine Timeline, ein großes Wagnis besagte Erwartungen in den Himmel hoch zu schrauben, was schließlich der Zweck einesTrailersist, oder die Erwartungen zu untergraben um so oder so ein eher ernüchterndes Ergebnis zu bekommen, stellen Filme und Serien und ihre…"
atonement,19oldboy91,Atonement,8.0,"English Version below🟠🟢🔵Liebster Herr Nolan,nochmals möchte ich Ihnen meine Fragezeichen um die Ohrwatscheln hauen der mich seit 2017 nicht loslassen wollenden, in folgender Review (Dunkirk) konkretisierten Herausarbeitung besagter Frage:Wie kann in Ihrem einhundertsechs Minuten lagen Werk über die in die Geschichte eingehende„Schlacht von Dünkirchen“mit der daraus folgenden Evakuierung unter dem Namen„Operation Dynamo“mit der Rettung von ca. 330.000 der 370.000 sich am Strand Dünkirchen an der Normandie zurückgezogenen Soldaten der Britischen und…"
the-piano-teacher,jolieswrld,The Piano Teacher,5.0,this is an incredible film but not a soul in the world would be able to pay me enough to watch it again ❤️
sinners-2025,jolieswrld,Sinners,5.0,"rewatching this movie often isn't enough, i need to turn it into a liquid and inject it into my veins through an IV drip connected to me 24/7"
beautiful-boy-2018,jolieswrld,Beautiful Boy,5.0,"was this the worst possible choice of a movie to watch for father's day? yes, yes it was. am i crying so bad my head hurts? of course i am!. would i rewatch this anytime soon? only if i need to cry my lungs out. happy father's day i guess 😭"
oppenheimer-2023,jizzmonkey,Oppenheimer,4.0,Quantum mechanics meets MTV.
moneyball,jizzmonkey,Moneyball,6.0,"Moneyballs makes baseball interesting by focusing on the usage of statistical analysis inherent in the field of economics. And, by incredible coincidence, it's also the pet name my economics tutor had for me."
in-bruges,jizzmonkey,In Bruges,8.0,Charismatic ugly.
one-flew-over-the-cuckoos-nest,jizzmonkey,One Flew Over the Cuckoo's Nest,5.0,What a bitch.
maniac-2018,jizzmonkey,Maniac,8.0,"Emma Stone plays a drunken elf, bumping this up to four stars."
i-claudius,jizzmonkey,"I, Claudius",5.0,Wonderful viewing for all who believe in family values.
